OSEBuildingID,CouncilDistrictCode,Age,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking(%),PropertyGFABuilding(s)(%),LargestPropertyUseTypeGFA,ENERGYSTARScore,EnergyStarNaN,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(%),Electricity(%),NaturalGas(%),TotalGHGEmissions,GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Office,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
793,2,43,1.0,2,156188,0.0,100.0,141917.0,67.0,0,48.20000076,50.59999847,147.1999969,154.6999969,6843855.0,7181600.0,0.0,6557481.0,286373.0,60.92,0.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,2,50,1.0,1,115620,0.0,100.0,56900.0,11.0,0,34.29999924,34.29999924,107.6999969,107.6999969,1951856.25,1951856.25,0.0,1951856.0,0.0,13.61,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
796,2,41,1.0,5,238148,0.0,100.0,245240.0,93.0,0,43.90000153,43.90000153,138.0,138.0,10775646.0,10775646.0,0.0,10775645.0,0.0,75.12,0.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,2,47,1.0,1,71718,0.0,100.0,71718.0,100.0,0,2.099999905,2.099999905,6.599999905,6.599999905,151754.2969,151754.2969,0.0,151754.0,0.0,1.06,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,1,47,1.0,1,55450,0.0,100.0,34206.0,31.0,0,78.40000153,87.30000305,163.3000031,171.3999939,4345698.0,4843056.0,0.0,2149197.0,2196501.0,131.64,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
799,1,37,1.0,1,54880,0.0,100.0,55000.0,32.0,0,50.20000076,54.79999924,99.90000153,104.6999969,2763597.0,3013861.5,0.0,1240788.0,1522809.0,89.53,1.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1,24,1.0,1,102500,0.0,100.0,99471.0,81.0,0,73.40000153,77.69999695,181.6000061,185.5,7305474.0,7728856.5,0.0,4972873.0,2332600.0,158.55,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
801,4,14,1.0,6,361398,75.51231606151667,24.487683938483336,232685.0,0.0,1,108.5,111.4000015,308.7999878,311.8999939,8915523.0,9158207.0,0.0,7663584.0,1251938.0,119.92,0.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
802,2,53,1.0,1,50785,0.0,100.0,27382.0,57.0,0,271.7000122,277.2999878,615.5999756,618.0999756,7439009.0,7593035.0,0.0,4327325.0,3111684.0,195.43,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
803,1,87,1.0,3,85126,0.0,100.0,81526.0,1.0,0,465.5,467.0,725.5999756,727.2000122,37951708.0,38074932.0,0.0,18610055.0,685132.0,166.13,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
